Text,Actual_Intents,Predicted_Intents,Confidence
how to buy 10 minits pack,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Robi te minit kmne kine.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.638728505
Robi minute offer kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.871518988
8 Taka recharge korle koto minit pawa jay ebong 9 Taka recharge korle koto minit ba koto MB pawa jay?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.945763383
Robi minute offer kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.871518988
রবিতে কত টাকাই কত মিনিট,Prepaid Voice bundle Q,None,0.657399509
BDT9 Recharge offer Ashe ki,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.618519884
Minute offer diye sahajjo korun,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.944076028
Minute offer din,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
আমি চেয়ে ছিলাম মিনিট কিনতে ।,Prepaid Voice bundle Q,None,0.657399509
minute packs kiner code din,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.771580695
30 days all minute pack code,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.866781832
Minute kinte kivabe dial korbo ektu bolben?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
রবিতে ১০টাকায় মিনিট প্যাক আছে কি ?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
Robi sime minit pack kene ki vabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.68188699
মিনিট কিভাবে দেখতে হয়?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
মিনিট দেখার কোড কি,Prepaid Voice bundle Q,None,0.657399509
"Few min ago i recharged 169tk, got sms too but it wasn t add in my balance",Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.488220489
How to buy 6 min,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.66399715
Ami Jante Chai 5minet Kivaby Kinbo.Ki Ki Dail Krle 5minet Kinty Parbo,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.526870189
Valo kome damay vaysi minit offer,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.940193455
6 Taka Minit,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.975858885
Robite minit er offer,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.872251983
7 takay minit kivabe kinbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
how to buy 30 day min bundle ?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Ami Jante Chai 27tk 44minet.Koto Gonta Thaky,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.328156168
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
minute offer please !!,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.410296731
Minit kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.737159244
Robita kivabe Minit kany,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.898387988
Welcome...Kom takai 30 din miyadi minute bundle pele aktu upokrito hobo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Asha kri kom takai 30din miyadi minute bundle diben,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.922056319
Kom takai kicu minutes 30din miyadi offer denna pls..,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.588586615
আমি রবি থেকে সাহায্যো পেতে পারি?আচ্ছা আমি যথি *0,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.378821122
Are Ami Jothe Amr Phn Diye Kine Offar Dekhy.Tahole Koto Gonta Thakby 27takay 44minet,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.397665498
Kom takay minit kinbo kivabe?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.765663918
10minute kivabe kinbo,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.558437126
"Assalamu alikum,minute offer lagbe monthly",Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.823114387
Robi te minute kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.707081907
30 TAKAI 50 MINIT 15 DIN. BUNDIL TI PROSES HOCCEA NA,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Minit kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.737159244
Robi te minute kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.707081907
200 min 120 tk Dail code koto?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Robi te minute kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.707081907
Taka katen keno,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.508509214
Minite bundle check kore ki diye,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.752227067
Oi robi sem a menit offar jante koto koto dail korbo,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.317450674
6takay 10 menit kinte koto koto dail korbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.307040606
And 3 takay 5menit pete koto dail korbo,Prepaid Voice bundle Q,None,0.260991618
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
kivabe minit dekhbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.898387988
kevavay mainet naou ji,Prepaid Voice bundle Q,None,0.657399509
5 menat neta ke kurta hovay,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.755896067
Robir minit deke ki dia,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.59516579
ki dail kora robita minet kinbo,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.29386312
minit kine kivabe?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.903193362
robi te minete kine kivabe?,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.464910946
মিনিট ওফার দেখে কিনবো কিভাবে,Prepaid Voice bundle Q,None,0.657399509
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Robi minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.598946128
3 teker offar dan,Prepaid Voice bundle Q,None,0.657399509
Amr kaca akon 3 taka aca,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.83468118
"Ami 99 tk ,160minit nibo to kothu din det thakbe",Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.307232692
6tkar minite kinar code,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.599742676
Sir ami 1maser koto minit koto taka diye ante parbo?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.771649819
Minit kine knto diye 5,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.943455247
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
মিনিট কিনার কোড কি,Prepaid Voice bundle Q,None,0.657399509
মিনিট কিনার কোড কি,Prepaid Voice bundle Q,None,0.657399509
Bhalo minute offer ashena keno?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.953154634
Bortomane Koto Taka Account Balance Rekhe Robi er Minute Bundle Packs Kinte Parbo.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.876090815
Bortomane Koto Taka Account Balance Rekhe Robi er Minute Bundle Packs Kinte Parbo.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.876090815
Minite Kibabe Cheak Kore?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minite Kibabe Dekha?R Robir Offer Ekhono Pai Na Kano?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.792490549
Robi te minute kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.707081907
Minit pack code ki hobea.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.854804045
Akhon amar proyojon 5minit bundile code.,Prepaid Voice bundle Q,None,0.335068174
Sir. *0,Prepaid Voice bundle Q,None,0.393178629
"Amr ei sime ekta message ase ,324taka jdi ami recharge kri 525minute r 1lakh takar jibn bima dewa hbe ,,, ei sms er sothik tottho jante chai",Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.659793135
3tk-y 5minit ai offer ar code ti amake sent korun.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.266324177
Robi te minit cheack koror number,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.377764038
Robi min kinte ki code,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.591128248
Robi te minute kine kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.707081907
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Posondo moto minute pack nibo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
com takar miniet,Prepaid Voice bundle Q,None,0.657399509
com takar minite,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.509715244
ami jante chasi minit ki koto dayal kore kine,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.809843995
মিনিট চেক করার কোড ও অন্যান্য তথ্য জানালে উপকৃত হবো।,Prepaid Voice bundle Q,None,0.657399509
5 minet kenta ke korta hobo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.886445819
5 minet neta ke daial,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.886445819
5 minet neta ke daial korta hoba,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.886445819
Six taka diwe ten minit anar niom,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.976364753
মিনিট চেক করব কিবাভে,Prepaid Voice bundle Q,None,0.657399509
What is dial code of minute?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.47312553
Robi minit code,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.69124963
"Amr ,160minit ace to ami det bary nita cayi to nita parbo ki",Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.35391463
রবির মিনিট কেনা যায় না*,Prepaid Voice bundle Q,None,0.657399509
রবি সিমের মিনিট কি দিয়ে কিনে,Prepaid Voice bundle Q,None,0.657399509
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
6 takay koto minite,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.757736199
কম মিনিটের অফার দেন,Prepaid Voice bundle Q,None,0.657399509
3 TAKAY 5 MINITS CODE KI,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.621659327
How i check minite,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.610402362
Minit kinbo kibava,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.685117977
Robi sime minit ki vabe kina jai,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.622485228
robi te minute bundle kinte hole koroniyo ki?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.843544891
মিনিট কি করে কেনবো।,Prepaid Voice bundle Q,None,0.657399509
Valo minite de,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.509715244
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Minute kivabe purchase kore,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.84899699
Minute kivabe kine,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.868729452
10 minute 6tk kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.905140431
Minute kinbo kivabe?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.822732603
Minute kibave chak korbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.931422692
মিনিট কিনতে ডায়াল,Prepaid Voice bundle Q,None,0.657399509
আমি কম টাকা বেশি মেয়াদের মিনিট প্যাক কিনতে চাই,Prepaid Voice bundle Q,None,0.657399509
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
robi minit kivaba kinbo,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.505380301
Robi Thy kivby minit kene?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.786233655
Ami 10 minit nibo kiveba,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.794302659
14 Minutes Kinbo Kto Dial Kore,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.30098346
2 takar minit code,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.945815515
facebook and WhatsApp MB 34tk 700MB 30day code ta den please,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.257290046
Minute Kinar code ki,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.848051082
Menet ofer plice,Prepaid Voice bundle Q,None,0.657399509
kom tkay bashi mitite robity,Prepaid Voice bundle Q,None,0.657399509
মিনিটের ওফার নিবো,Prepaid Voice bundle Q,None,0.657399509
Minite offer nibo..Minite kenbo ..,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.582472549
Robi sim a ki minit kina jay,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.498391365
MUNIT KI KORE KINE,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
robir minit ofar,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.921956762
I need to know 6tk 10 min code.,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.874558598
15 minute 2 tk please,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.935111404
Mini pack chai,Prepaid Voice bundle Q,None,0.329997999
আমি মিনিট প্যাক নিব,Prepaid Voice bundle Q,None,0.657399509
আমি মিনিট প্যাক নিব,Prepaid Voice bundle Q,None,0.657399509
কিভাবে মিনিট কিনবো এবং এমবি কিনবো,Prepaid Voice bundle Q,None,0.657399509
এবং এস এম এস কিনবো,Prepaid Voice bundle Q,None,0.657399509
এবং এমবি দেখবো কিভাবে,Prepaid Voice bundle Q,None,0.657399509
6 taka diya 10 mint kina j code ta aktu janaban pls,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.904418003
3 tk 5m,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.567772906
3 tk 5 minutes,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.76738922
How to check minute bundle..?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
25/30TAKAY 30/15DAYS ER MINIT OFFER ACHE KI?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.919214449
,,,
How to robi number voice chek ?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.341225552
How to robi number voice bundle chek ?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
3tk min richars,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.597294919
Robi minute kinar code koto ?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.81931595
3 taker minte kinbo,Prepaid Voice bundle Q,prepaid_SMS_bundle_q,0.617123291
minute bundle kinte ke dial korte hobe?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.916778977
amra je minute bundle ti kinte chai tar meyad koto din thakbe ta ullekh na thakle ta janar ke kono upay ache?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,1
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
Minute kene kivabe apnader Robi te?,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.753843126
8 taka,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.83468118
Minute kinbo kivabe,Prepaid Voice bundle Q,prepaid_voice_bundle_q,0.744341296
